,Accuracy,False Omissin Rate Disparity,False Discover Rate Disparity,Predicted Positive Ratio Disparity,Predicted Prevalance Disparity
Random Forest,0.5822824387701928,0.9306376443351774,0.9493925005389212,0.8427332726621032,0.9226287295916296
Gradient Boost,0.6249435469862776,0.7946549421679865,0.9685290657113379,0.762706160861989,0.8350027681668231
FairGBM,0.5903074517978114,0.9985314789544291,0.9131441322812697,0.9099465310819209,0.9967983840737749
Fair Learn,0.5978461003995137,1.0318996717112874,0.8770736043945263,0.9361865681105183,1.0256647058947332
