,Accuracy,False Omissin Rate Disparity,False Discover Rate Disparity,Predicted Positive Ratio Disparity,Predicted Prevalance Disparity
Random Forest,0.6627654692437904,1.0739208104858928,1.0271400635576067,1.2441725563691226,1.069578717001509
Gradient Boost,0.6625001467803951,1.0565586965675462,1.0319440479200488,1.2292407126894227,1.0570220926661187
FairGBM,0.6280179941949127,1.036646722028084,1.0410625609467923,1.2140897021304087,1.0438723285532925
FairLearn,0.6248833424182674,1.0703597137691563,1.0327426124477228,1.2500470527630032,1.0758661067382835
