,Accuracy,False Omissin Rate Disparity,False Discover Rate Disparity,Predicted Positive Ratio Disparity,Predicted Prevalance Disparity
Random Forest,0.891,0.6398798323918403,1.1629557749935155,0.9713886015361997,1.0270766810554042
Gradient Boost,0.898,0.7973802031711708,1.035238900591683,0.9850398100688658,1.0414600910301923
FairGBM,0.8099999999999999,1.047120925429203,1.1941313711472206,1.008959302750224,1.0610406829131267
FairLearn,0.836,0.8115219141830083,1.130747869800153,0.9823051553789259,1.0247849802120619
